Station_ID,Station_Name,Latitude,Longitude,Year,Start_Station_Counts,End_Station_Counts
313,Washington Ave & Park Ave,40.69610226,-73.96751037,2017,694,755
314,Cadman Plaza West & Montague St,40.69383,-73.990539,2017,928,891
315,South St & Gouverneur Ln,40.70355377,-74.00670227,2017,2324,2483
316,Fulton St & William St,40.70955958,-74.00653609,2017,1388,1457
317,E 6 St & Avenue B,40.72453734,-73.98185424,2017,2339,2320
319,Fulton St & Broadway,40.711066,-74.009447,2017,1827,1776
320,Leonard St & Church St,40.717571,-74.005549,2017,1689,1685
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,2017,703,691
322,Clinton St & Tillary St,40.696192,-73.991218,2017,585,553
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,2017,1399,1344
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,2017,1143,1725
325,E 19 St & 3 Ave,40.73624527,-73.98473765,2017,2121,2146
326,E 11 St & 1 Ave,40.72953837,-73.98426726,2017,2543,2535
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,2017,3623,3753
328,Watts St & Greenwich St,40.72405549,-74.00965965,2017,2273,2299
330,Reade St & Broadway,40.71450451,-74.00562789,2017,1382,1430
331,Pike St & Monroe St,40.71173107,-73.99193043,2017,884,894
332,Cherry St,40.71219906,-73.97948148,2017,993,994
334,W 20 St & 7 Ave,40.74238787,-73.99726235,2017,3031,3045
335,Washington Pl & Broadway,40.72903917,-73.99404649,2017,1833,1927
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,2017,2409,2487
337,Old Slip & Front St,40.7037992,-74.00838676,2017,1015,1046
339,Avenue D & E 12 St,40.72580614,-73.97422494,2017,702,689
340,Madison St & Clinton St,40.71269042,-73.98776323,2017,1099,1121
341,Stanton St & Mangin St,40.71782143,-73.97628939,2017,940,950
342,Columbia St & Rivington St,40.71739973,-73.98016555,2017,1053,1049
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,2017,671,755
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,2017,591,549
345,W 13 St & 6 Ave,40.73649403,-73.99704374,2017,2870,2783
346,Bank St & Hudson St,40.73652889,-74.00618026,2017,2124,2127
347,Greenwich St & W Houston St,40.728846,-74.008591,2017,3111,3277
348,W Broadway & Spring St,40.72490985,-74.00154702,2017,2787,2803
349,Rivington St & Ridge St,40.71850211,-73.98329859,2017,1245,1165
350,Clinton St & Grand St,40.71559509,-73.9870295,2017,1597,1576
351,Front St & Maiden Ln,40.70530954,-74.00612572,2017,1354,1389
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,2017,604,596
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,2017,688,671
355,Bayard St & Baxter St,40.71602118,-73.99974372,2017,2044,2048
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,2017,1151,1000
357,E 11 St & Broadway,40.73261787,-73.99158043,2017,1690,1712
358,Christopher St & Greenwich St,40.73291553,-74.00711384,2017,4583,4617
359,E 47 St & Park Ave,40.75510267,-73.97498696,2017,4255,4443
360,William St & Pine St,40.70717936,-74.00887308,2017,1252,1320
361,Allen St & Hester St,40.71605866,-73.99190759,2017,2493,2471
363,West Thames St,40.70834698,-74.01713445,2017,2563,2381
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,2017,717,669
365,Fulton St & Grand Ave,40.68223166,-73.9614583,2017,640,626
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,2017,1232,1151
368,Carmine St & 6 Ave,40.73038599,-74.00214988,2017,4995,5136
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,2017,1723,1692
372,Franklin Ave & Myrtle Ave,40.694528,-73.958089,2017,334,325
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,2017,278,275
376,John St & William St,40.70862144,-74.00722156,2017,1256,1247
377,6 Ave & Canal St,40.72243797,-74.00566443,2017,2561,2883
379,W 31 St & 7 Ave,40.749156,-73.9916,2017,4212,3935
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,2017,2972,2994
382,University Pl & E 14 St,40.73492695,-73.99200509,2017,4218,4201
383,Greenwich Ave & Charles St,40.735238,-74.000271,2017,2856,2880
384,Fulton St & Washington Ave,40.683048,-73.964915,2017,1121,1140
385,E 55 St & 2 Ave,40.75797322,-73.96603308,2017,1843,1807
386,Centre St & Worth St,40.71494807,-74.00234482,2017,1285,1291
387,Centre St & Chambers St,40.71273266,-74.0046073,2017,2384,2137
388,W 26 St & 10 Ave,40.74971775,-74.00295035,2017,2552,2638
389,Broadway & Berry St,40.71044554,-73.96525063,2017,1148,1144
390,Duffield St & Willoughby St,40.69221589,-73.9842844,2017,905,900
391,Clark St & Henry St,40.69760127,-73.99344559,2017,1527,1272
392,Jay St & Tech Pl,40.695065,-73.987167,2017,992,891
393,E 5 St & Avenue C,40.72299208,-73.97995466,2017,1195,1243
394,E 9 St & Avenue C,40.72521311,-73.97768752,2017,2053,2009
395,Bond St & Schermerhorn St,40.68807003,-73.98410637,2017,951,943
396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,2017,806,775
397,Fulton St & Clermont Ave,40.68415748,-73.96922273,2017,551,496
398,Atlantic Ave & Furman St,40.69165183,-73.9999786,2017,1177,1260
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,2017,719,523
400,Pitt St & Stanton St,40.71926081,-73.98178024,2017,478,475
401,Allen St & Rivington St,40.72019576,-73.98997825,2017,3094,3006
402,Broadway & E 22 St,40.7403432,-73.98955109,2017,6003,6643
403,E 2 St & 2 Ave,40.72502876,-73.99069656,2017,2048,2049
405,Washington St & Gansevoort St,40.739323,-74.008119,2017,3150,3228
406,Hicks St & Montague St,40.69512845,-73.99595065,2017,1272,1162
407,Henry St & Poplar St,40.700469,-73.991454,2017,557,549
408,Market St & Cherry St,40.71076228,-73.99400398,2017,850,915
409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,2017,437,404
410,Suffolk St & Stanton St,40.72066442,-73.98517977,2017,2741,2715
411,E 6 St & Avenue D,40.72228087,-73.97668709,2017,1161,1137
412,Forsyth St & Canal St,40.7158155,-73.99422366,2017,2117,2035
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,2017,976,1026
415,Pearl St & Hanover Square,40.7047177,-74.00926027,2017,1341,1407
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,2017,789,729
417,Barclay St & Church St,40.71291224,-74.01020234,2017,2778,2742
418,Front St & Gold St,40.70224,-73.982578,2017,660,721
419,Carlton Ave & Park Ave,40.69580705,-73.97355569,2017,384,418
420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,2017,499,423
421,Clermont Ave & Park Ave,40.69573398,-73.97129668,2017,416,421
422,W 59 St & 10 Ave,40.770513,-73.988038,2017,1447,1403
423,W 54 St & 9 Ave,40.76584941,-73.98690506,2017,1577,1534
426,West St & Chambers St,40.71754834,-74.01322069,2017,6334,6416
427,Bus Slip & State St,40.701907,-74.013942,2017,1241,1237
428,E 3 St & 1 Ave,40.72467721,-73.98783413,2017,2832,2821
430,York St & Jay St,40.7014851,-73.98656928,2017,1667,1681
432,E 7 St & Avenue A,40.72621788,-73.98379855,2017,3902,4589
